DIA CERO,FECHA PRODUCCIÓN,ID PROGRAMA,PRECIO CURSO,FACTURACIÓN NETA,IMPORTE INSCRIPCIÓN,% INSCRIPCION,MEDIO PAGO PI,IMPORTE PENDIENTE PAGO,MEDIO PAGO IMPORTE PENDIENTE,NUMERO DE CUOTAS,FECHA 1ra CUOTA,FORMA DE PAGO,ASESOR,FECHA 1ra CUOTA ORIGINAL,FORMA DE PAGO ORIGINAL,TIPO PROGRAMA,NACIONALIDAD,PAÍS DE RESIDENCIA,AGRUPACION NACIONALIDAD,AGRUPACION PAÍS DE RESIDENCIA,MANTIENE MEDIO PAGO,DIFERENCIA FECHA 1ra CUOTA - ORIGINAL,DIFERENCIA FECHA PRODUCCIÓN - 1ra CUOTA,% DTO,Moroso,% Impagado Actual Vdo,Importe Impagado Actual
False,2023-05-23,240433990,13900.0,7993.89,799.89,0.1000626728664017,TARJETA,7194.0,LINK DE PAGO,1,2023-07-01,CONTADO DIAS,Manuel Martínez,2023-07-01,CONTADO DIAS,MBA,Chile,Chile,CHILE,CHILE,False,0.0,39.0,0.42489999999999994,False,0.0,0.0
False,2023-05-31,240433720,7500.0,4937.62,740.64,0.1499993924198298,TARJETA,4196.98,LINK DE PAGO,1,2023-12-01,CONTADO DIAS,Paula García,2023-12-01,CONTADO DIAS,MST,Ecuador,Ecuador,ECUADOR,ECUADOR,False,0.0,184.0,0.34165066666666666,True,0.8500081011017497,4197.0
False,2023-05-31,240433150,7500.0,5343.75,801.56,0.14999953216374268,TARJETA,4542.1900000000005,TARJETA,12,2024-04-01,APLAZADO,Silvia Campos,2024-04-01,APLAZADO,MST,Perú,Perú,PERÚ,PERÚ,True,0.0,306.0,0.2875,False,0.0,0.0
False,2023-07-03,240433400,7500.0,4809.37,721.41,0.15000093567348738,TARJETA,4087.96,TARJETA,12,2023-10-01,APLAZADO,Gabriela de Cordova,2023-10-01,APLAZADO,MST,Nicaragua,Nicaragua,R. LATAM,R. LATAM,True,0.0,90.0,0.35875066666666666,False,0.0,0.0
False,2023-07-17,240433700,7500.0,5062.5,506.25,0.1,PAYBAY,4556.25,LINK DE PAGO,13,2023-09-01,APLAZADO,Mery Chapler,2023-09-01,APLAZADO,MST,México,México,MÉXICO,MÉXICO,False,0.0,46.0,0.32499999999999996,False,0.0,0.0
False,2022-05-06,240433220,7500.0,5700.0,1140.0,0.2,TARJETA,4560.0,LINK DE PAGO,12,2024-04-01,APLAZADO,Vanesa Fernández,2024-04-01,APLAZADO,MST,Puerto Rico,Puerto Rico,VIP,VIP,False,0.0,696.0,0.24,False,0.0,0.0
False,2023-07-31,240433962,7500.0,4809.37,577.12,0.11999908511925679,PAYBAY,4232.25,TARJETA,12,2023-11-01,APLAZADO,Javiera Bruron,2023-11-01,APLAZADO,MST,México,México,MÉXICO,MÉXICO,False,0.0,93.0,0.35875066666666666,False,0.0,0.0
False,2023-07-21,240433900,13900.0,7576.360000000001,757.64,0.10000052795801677,PAYBAY,6818.72,LINK DE PAGO,1,2023-08-01,CONTADO DIAS,Amanda Pedraza,2023-08-01,CONTADO DIAS,MBA,México,México,MÉXICO,MÉXICO,False,0.0,11.0,0.4549381294964029,False,0.0,0.0
False,2023-07-28,240433780,7500.0,4809.37,721.41,0.15000093567348738,PAYBAY,4087.96,TARJETA,14,2024-04-01,APLAZADO,Carlos Ruiz,2024-04-01,APLAZADO,MST,México,México,MÉXICO,MÉXICO,False,0.0,248.0,0.35875066666666666,True,0.8500020792614464,4088.0
False,2023-07-31,240433140,7500.0,4809.37,721.41,0.15000093567348738,TARJETA,4087.96,TRANSFERENCIA,16,2024-01-01,APLAZADO,Gabriela de Cordova,2024-01-01,APLAZADO,MST,Chile,Chile,CHILE,CHILE,False,0.0,154.0,0.35875066666666666,False,0.0,0.0
False,2023-08-14,240433130,7500.0,4809.37,721.41,0.15000093567348738,TARJETA,4087.96,TRANSFERENCIA,12,2024-04-01,APLAZADO,Marion Villacura,2024-04-01,APLAZADO,MST,México,España,MÉXICO,ESPAÑA,False,0.0,231.0,0.35875066666666666,False,0.0,0.0
False,2023-07-28,240433130,7500.0,4556.25,683.44,0.150000548696845,PAYBAY,3872.81,TARJETA,12,2023-10-01,APLAZADO,Carlos Henao,2023-10-01,APLAZADO,MST,El Salvador,El Salvador,VIP,VIP,False,0.0,65.0,0.39249999999999996,False,0.0,0.0
False,2023-07-31,240433930,7500.0,4568.900000000001,685.3,0.14999233951279298,TRANSFERENCIA,3883.6000000000004,TRANSFERENCIA,1,2023-12-01,CONTADO DIAS,Laura Parra,2023-12-01,CONTADO DIAS,MST,Ecuador,Ecuador,ECUADOR,ECUADOR,True,0.0,123.0,0.39081333333333323,False,0.0,0.0
False,2023-08-16,240433700,7700.0,4805.95,721.4,0.15010559826881262,TPVF,4084.5499999999997,LINK DE PAGO,12,2024-04-01,APLAZADO,Alexandra Pérez,2024-04-01,APLAZADO,MST,República Dominicana,República Dominicana,R. LATAM,R. LATAM,False,0.0,229.0,0.3758506493506494,False,0.0,0.0
False,2023-08-18,240433930,7700.0,4805.95,721.4,0.15010559826881262,PAYBAY,4084.5499999999997,LINK DE PAGO,12,2024-04-01,APLAZADO,Gerard Martínez,2024-04-01,APLAZADO,MST,Chile,Chile,CHILE,CHILE,False,0.0,227.0,0.3758506493506494,False,0.0,0.0
